Labour market region (SA4): ASGS (2011),date,percent of parttime workers,sa4_code_2011
504 Perth - North East,2007-02-01,8.46,504
505 Perth - North West,2007-02-01,11.38,505
506 Perth - South East,2007-02-01,8.97,506
507 Perth - South West,2007-02-01,9.00,507
501 Bunbury,2007-02-01,9.26,501
508 Western Australia - Outback,2007-02-01,7.48,508
509 Western Australia - Wheat Belt,2007-02-01,7.71,509
601 Hobart,2007-02-01,7.50,601
602 Launceston and North East,2007-02-01,10.70,602
603 Tasmania - South East,2007-02-01,8.86,603
604 Tasmania - West and North West,2007-02-01,7.94,604
701 Darwin,2007-02-01,8.42,701
702 Northern Territory - Outback,2007-02-01,10.22,702
801 Australian Capital Territory,2007-02-01,12.23,801
102 Central Coast,2008-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2008-02-01,10.07,115
116 Sydney - Blacktown,2008-02-01,7.02,116
117 Sydney - City and Inner South,2008-02-01,9.86,117
118 Sydney - Eastern Suburbs,2008-02-01,9.19,118
119 Sydney - Inner South West,2008-02-01,8.36,119
120 Sydney - Inner West,2008-02-01,9.46,120
121 Sydney - North Sydney and Hornsby,2008-02-01,8.85,121
122 Sydney - Northern Beaches,2008-02-01,5.78,122
123 Sydney - Outer South West,2008-02-01,8.36,123
124 Sydney - Outer West and Blue Mountains,2008-02-01,8.04,124
125 Sydney - Parramatta,2008-02-01,9.31,125
126 Sydney - Ryde,2008-02-01,7.09,126
127 Sydney - South West,2008-02-01,5.56,127
128 Sydney - Sutherland,2008-02-01,6.00,128
101 Capital Region,2008-02-01,9.62,101
103 New South Wales - Central West,2008-02-01,9.33,103
104 Coffs Harbour - Grafton,2008-02-01,6.79,104
105 Far West and Orana,2008-02-01,9.48,105
106 Hunter Valley exc Newcastle,2008-02-01,10.57,106
107 Illawarra,2008-02-01,12.02,107
108 Mid North Coast,2008-02-01,9.64,108
109 Murray,2008-02-01,11.02,109
110 New England and North West,2008-02-01,9.32,110
111 Newcastle and Lake Macquarie,2008-02-01,8.53,111
112 Richmond - Tweed,2008-02-01,9.82,112
113 Riverina,2008-02-01,9.19,113
114 Southern Highlands and Shoalhaven,2008-02-01,7.97,114
206 Melbourne - Inner,2008-02-01,10.92,206
207 Melbourne - Inner East,2008-02-01,7.76,207
208 Melbourne - Inner South,2008-02-01,7.05,208
209 Melbourne - North East,2008-02-01,8.41,209
210 Melbourne - North West,2008-02-01,8.08,210
211 Melbourne - Outer East,2008-02-01,7.04,211
212 Melbourne - South East,2008-02-01,7.29,212
213 Melbourne - West,2008-02-01,7.28,213
214 Mornington Peninsula,2008-02-01,8.77,214
201 Ballarat,2008-02-01,9.21,201
202 Bendigo,2008-02-01,8.38,202
203 Geelong,2008-02-01,9.82,203
204 Hume,2008-02-01,8.65,204
205 Latrobe - Gippsland,2008-02-01,8.00,205
215 Victoria - North West,2008-02-01,8.45,215
216 Shepparton,2008-02-01,7.26,216
217 Warrnambool and South West,2008-02-01,9.90,217
301 Brisbane - East,2008-02-01,6.64,301
302 Brisbane - North,2008-02-01,8.06,302
303 Brisbane - South,2008-02-01,8.94,303
304 Brisbane - West,2008-02-01,7.29,304
305 Brisbane Inner City,2008-02-01,8.62,305
310 Ipswich,2008-02-01,7.39,310
311 Logan - Beaudesert,2008-02-01,8.13,311
313 Moreton Bay - North,2008-02-01,9.25,313
314 Moreton Bay - South,2008-02-01,11.68,314
306 Cairns,2008-02-01,9.37,306
307 Darling Downs - Maranoa,2008-02-01,8.61,307
308 Fitzroy,2008-02-01,8.18,308
309 Gold Coast,2008-02-01,6.97,309
312 Mackay,2008-02-01,9.76,312
315 Queensland - Outback,2008-02-01,7.67,315
316 Sunshine Coast,2008-02-01,8.68,316
317 Toowoomba,2008-02-01,9.87,317
318 Townsville,2008-02-01,7.65,318
319 Wide Bay,2008-02-01,8.24,319
401 Adelaide - Central and Hills,2008-02-01,7.86,401
402 Adelaide - North,2008-02-01,7.55,402
403 Adelaide - South,2008-02-01,10.02,403
404 Adelaide - West,2008-02-01,10.97,404
405 Barossa - Yorke - Mid North,2008-02-01,9.19,405
406 South Australia - Outback,2008-02-01,7.64,406
407 South Australia - South East,2008-02-01,8.26,407
502 Mandurah,2008-02-01,8.63,502
503 Perth - Inner,2008-02-01,10.71,503
504 Perth - North East,2008-02-01,5.36,504
505 Perth - North West,2008-02-01,9.84,505
506 Perth - South East,2008-02-01,9.39,506
507 Perth - South West,2008-02-01,8.37,507
501 Bunbury,2008-02-01,7.74,501
508 Western Australia - Outback,2008-02-01,7.48,508
509 Western Australia - Wheat Belt,2008-02-01,7.89,509
601 Hobart,2008-02-01,7.95,601
602 Launceston and North East,2008-02-01,11.38,602
603 Tasmania - South East,2008-02-01,11.28,603
604 Tasmania - West and North West,2008-02-01,9.67,604
701 Darwin,2008-02-01,8.81,701
702 Northern Territory - Outback,2008-02-01,9.97,702
801 Australian Capital Territory,2008-02-01,19.81,801
102 Central Coast,2009-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2009-02-01,13.11,115
116 Sydney - Blacktown,2009-02-01,6.51,116
117 Sydney - City and Inner South,2009-02-01,7.76,117
118 Sydney - Eastern Suburbs,2009-02-01,7.75,118
119 Sydney - Inner South West,2009-02-01,8.25,119
120 Sydney - Inner West,2009-02-01,8.24,120
121 Sydney - North Sydney and Hornsby,2009-02-01,8.63,121
122 Sydney - Northern Beaches,2009-02-01,6.36,122
123 Sydney - Outer South West,2009-02-01,8.98,123
124 Sydney - Outer West and Blue Mountains,2009-02-01,8.98,124
125 Sydney - Parramatta,2009-02-01,10.38,125
126 Sydney - Ryde,2009-02-01,5.79,126
127 Sydney - South West,2009-02-01,5.15,127
128 Sydney - Sutherland,2009-02-01,6.28,128
101 Capital Region,2009-02-01,9.75,101
103 New South Wales - Central West,2009-02-01,8.15,103
104 Coffs Harbour - Grafton,2009-02-01,9.47,104
105 Far West and Orana,2009-02-01,7.70,105
106 Hunter Valley exc Newcastle,2009-02-01,7.56,106
107 Illawarra,2009-02-01,11.69,107
108 Mid North Coast,2009-02-01,8.83,108
109 Murray,2009-02-01,10.22,109
110 New England and North West,2009-02-01,11.41,110
111 Newcastle and Lake Macquarie,2009-02-01,9.34,111
112 Richmond - Tweed,2009-02-01,8.13,112
113 Riverina,2009-02-01,7.80,113
114 Southern Highlands and Shoalhaven,2009-02-01,11.90,114
206 Melbourne - Inner,2009-02-01,12.13,206
207 Melbourne - Inner East,2009-02-01,8.38,207
208 Melbourne - Inner South,2009-02-01,7.82,208
209 Melbourne - North East,2009-02-01,6.34,209
210 Melbourne - North West,2009-02-01,9.22,210
211 Melbourne - Outer East,2009-02-01,8.69,211
212 Melbourne - South East,2009-02-01,8.59,212
213 Melbourne - West,2009-02-01,7.31,213
214 Mornington Peninsula,2009-02-01,9.15,214
201 Ballarat,2009-02-01,7.73,201
202 Bendigo,2009-02-01,10.74,202
203 Geelong,2009-02-01,13.04,203
204 Hume,2009-02-01,8.93,204
205 Latrobe - Gippsland,2009-02-01,9.33,205
215 Victoria - North West,2009-02-01,9.66,215
216 Shepparton,2009-02-01,9.22,216
217 Warrnambool and South West,2009-02-01,8.87,217
301 Brisbane - East,2009-02-01,9.78,301
302 Brisbane - North,2009-02-01,8.33,302
303 Brisbane - South,2009-02-01,8.63,303
304 Brisbane - West,2009-02-01,8.86,304
305 Brisbane Inner City,2009-02-01,8.89,305
310 Ipswich,2009-02-01,8.48,310
311 Logan - Beaudesert,2009-02-01,9.39,311
313 Moreton Bay - North,2009-02-01,9.19,313
314 Moreton Bay - South,2009-02-01,12.85,314
306 Cairns,2009-02-01,8.30,306
307 Darling Downs - Maranoa,2009-02-01,14.81,307
308 Fitzroy,2009-02-01,10.58,308
309 Gold Coast,2009-02-01,6.81,309
312 Mackay,2009-02-01,11.96,312
315 Queensland - Outback,2009-02-01,4.71,315
316 Sunshine Coast,2009-02-01,7.84,316
317 Toowoomba,2009-02-01,9.24,317
318 Townsville,2009-02-01,4.69,318
319 Wide Bay,2009-02-01,7.61,319
401 Adelaide - Central and Hills,2009-02-01,7.45,401
402 Adelaide - North,2009-02-01,8.08,402
403 Adelaide - South,2009-02-01,9.51,403
404 Adelaide - West,2009-02-01,11.05,404
405 Barossa - Yorke - Mid North,2009-02-01,9.44,405
406 South Australia - Outback,2009-02-01,9.00,406
407 South Australia - South East,2009-02-01,14.94,407
502 Mandurah,2009-02-01,8.01,502
503 Perth - Inner,2009-02-01,11.37,503
504 Perth - North East,2009-02-01,8.13,504
505 Perth - North West,2009-02-01,9.62,505
506 Perth - South East,2009-02-01,7.92,506
507 Perth - South West,2009-02-01,8.01,507
501 Bunbury,2009-02-01,9.01,501
508 Western Australia - Outback,2009-02-01,7.18,508
509 Western Australia - Wheat Belt,2009-02-01,7.46,509
601 Hobart,2009-02-01,8.40,601
602 Launceston and North East,2009-02-01,10.27,602
603 Tasmania - South East,2009-02-01,8.60,603
604 Tasmania - West and North West,2009-02-01,11.82,604
701 Darwin,2009-02-01,8.61,701
702 Northern Territory - Outback,2009-02-01,10.45,702
801 Australian Capital Territory,2009-02-01,12.60,801
102 Central Coast,2010-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2010-02-01,10.09,115
116 Sydney - Blacktown,2010-02-01,9.46,116
117 Sydney - City and Inner South,2010-02-01,10.29,117
118 Sydney - Eastern Suburbs,2010-02-01,9.72,118
119 Sydney - Inner South West,2010-02-01,10.56,119
120 Sydney - Inner West,2010-02-01,8.55,120
121 Sydney - North Sydney and Hornsby,2010-02-01,10.51,121
122 Sydney - Northern Beaches,2010-02-01,7.82,122
123 Sydney - Outer South West,2010-02-01,9.64,123
124 Sydney - Outer West and Blue Mountains,2010-02-01,11.47,124
125 Sydney - Parramatta,2010-02-01,9.09,125
126 Sydney - Ryde,2010-02-01,7.63,126
127 Sydney - South West,2010-02-01,6.29,127
128 Sydney - Sutherland,2010-02-01,8.55,128
101 Capital Region,2010-02-01,7.06,101
103 New South Wales - Central West,2010-02-01,10.45,103
104 Coffs Harbour - Grafton,2010-02-01,9.66,104
105 Far West and Orana,2010-02-01,10.53,105
106 Hunter Valley exc Newcastle,2010-02-01,7.48,106
107 Illawarra,2010-02-01,8.11,107
108 Mid North Coast,2010-02-01,10.75,108
109 Murray,2010-02-01,10.23,109
110 New England and North West,2010-02-01,9.80,110
111 Newcastle and Lake Macquarie,2010-02-01,6.60,111
112 Richmond - Tweed,2010-02-01,8.89,112
113 Riverina,2010-02-01,12.97,113
114 Southern Highlands and Shoalhaven,2010-02-01,6.41,114
206 Melbourne - Inner,2010-02-01,10.32,206
207 Melbourne - Inner East,2010-02-01,7.48,207
208 Melbourne - Inner South,2010-02-01,6.97,208
209 Melbourne - North East,2010-02-01,8.72,209
210 Melbourne - North West,2010-02-01,9.39,210
211 Melbourne - Outer East,2010-02-01,9.11,211
212 Melbourne - South East,2010-02-01,8.55,212
213 Melbourne - West,2010-02-01,9.23,213
214 Mornington Peninsula,2010-02-01,6.81,214
201 Ballarat,2010-02-01,11.28,201
202 Bendigo,2010-02-01,13.43,202
203 Geelong,2010-02-01,8.07,203
204 Hume,2010-02-01,12.23,204
205 Latrobe - Gippsland,2010-02-01,7.67,205
215 Victoria - North West,2010-02-01,8.94,215
216 Shepparton,2010-02-01,10.40,216
217 Warrnambool and South West,2010-02-01,9.94,217
301 Brisbane - East,2010-02-01,12.79,301
302 Brisbane - North,2010-02-01,9.07,302
303 Brisbane - South,2010-02-01,8.81,303
304 Brisbane - West,2010-02-01,10.22,304
305 Brisbane Inner City,2010-02-01,8.17,305
310 Ipswich,2010-02-01,8.77,310
311 Logan - Beaudesert,2010-02-01,8.34,311
313 Moreton Bay - North,2010-02-01,8.19,313
314 Moreton Bay - South,2010-02-01,10.56,314
306 Cairns,2010-02-01,8.18,306
307 Darling Downs - Maranoa,2010-02-01,12.06,307
308 Fitzroy,2010-02-01,9.38,308
309 Gold Coast,2010-02-01,7.67,309
312 Mackay,2010-02-01,9.63,312
315 Queensland - Outback,2010-02-01,7.19,315
316 Sunshine Coast,2010-02-01,8.48,316
317 Toowoomba,2010-02-01,11.29,317
318 Townsville,2010-02-01,5.13,318
319 Wide Bay,2010-02-01,9.78,319
401 Adelaide - Central and Hills,2010-02-01,10.95,401
402 Adelaide - North,2010-02-01,7.94,402
403 Adelaide - South,2010-02-01,9.80,403
404 Adelaide - West,2010-02-01,11.89,404
405 Barossa - Yorke - Mid North,2010-02-01,10.08,405
406 South Australia - Outback,2010-02-01,10.11,406
407 South Australia - South East,2010-02-01,10.03,407
502 Mandurah,2010-02-01,8.72,502
503 Perth - Inner,2010-02-01,8.98,503
504 Perth - North East,2010-02-01,11.49,504
505 Perth - North West,2010-02-01,9.39,505
506 Perth - South East,2010-02-01,8.90,506
507 Perth - South West,2010-02-01,10.12,507
501 Bunbury,2010-02-01,10.05,501
508 Western Australia - Outback,2010-02-01,8.10,508
509 Western Australia - Wheat Belt,2010-02-01,9.43,509
601 Hobart,2010-02-01,7.14,601
602 Launceston and North East,2010-02-01,10.27,602
603 Tasmania - South East,2010-02-01,10.42,603
604 Tasmania - West and North West,2010-02-01,6.60,604
701 Darwin,2010-02-01,10.46,701
702 Northern Territory - Outback,2010-02-01,8.16,702
801 Australian Capital Territory,2010-02-01,12.46,801
102 Central Coast,2011-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2011-02-01,11.18,115
116 Sydney - Blacktown,2011-02-01,8.19,116
117 Sydney - City and Inner South,2011-02-01,8.60,117
118 Sydney - Eastern Suburbs,2011-02-01,9.94,118
119 Sydney - Inner South West,2011-02-01,8.78,119
120 Sydney - Inner West,2011-02-01,9.53,120
121 Sydney - North Sydney and Hornsby,2011-02-01,7.32,121
122 Sydney - Northern Beaches,2011-02-01,6.91,122
123 Sydney - Outer South West,2011-02-01,9.01,123
124 Sydney - Outer West and Blue Mountains,2011-02-01,8.82,124
125 Sydney - Parramatta,2011-02-01,9.33,125
126 Sydney - Ryde,2011-02-01,7.76,126
127 Sydney - South West,2011-02-01,6.47,127
128 Sydney - Sutherland,2011-02-01,8.14,128
101 Capital Region,2011-02-01,8.07,101
103 New South Wales - Central West,2011-02-01,10.63,103
104 Coffs Harbour - Grafton,2011-02-01,9.52,104
105 Far West and Orana,2011-02-01,12.40,105
106 Hunter Valley exc Newcastle,2011-02-01,13.71,106
107 Illawarra,2011-02-01,7.81,107
108 Mid North Coast,2011-02-01,11.65,108
109 Murray,2011-02-01,10.85,109
110 New England and North West,2011-02-01,10.62,110
111 Newcastle and Lake Macquarie,2011-02-01,5.44,111
112 Richmond - Tweed,2011-02-01,9.92,112
113 Riverina,2011-02-01,13.73,113
114 Southern Highlands and Shoalhaven,2011-02-01,8.92,114
206 Melbourne - Inner,2011-02-01,12.97,206
207 Melbourne - Inner East,2011-02-01,10.05,207
208 Melbourne - Inner South,2011-02-01,7.18,208
209 Melbourne - North East,2011-02-01,6.78,209
210 Melbourne - North West,2011-02-01,7.73,210
211 Melbourne - Outer East,2011-02-01,10.77,211
212 Melbourne - South East,2011-02-01,9.34,212
213 Melbourne - West,2011-02-01,8.66,213
214 Mornington Peninsula,2011-02-01,8.16,214
201 Ballarat,2011-02-01,8.83,201
202 Bendigo,2011-02-01,10.91,202
203 Geelong,2011-02-01,9.49,203
204 Hume,2011-02-01,11.43,204
205 Latrobe - Gippsland,2011-02-01,9.33,205
215 Victoria - North West,2011-02-01,8.85,215
216 Shepparton,2011-02-01,8.85,216
217 Warrnambool and South West,2011-02-01,9.73,217
301 Brisbane - East,2011-02-01,11.90,301
302 Brisbane - North,2011-02-01,10.59,302
303 Brisbane - South,2011-02-01,9.90,303
304 Brisbane - West,2011-02-01,9.22,304
305 Brisbane Inner City,2011-02-01,6.94,305
310 Ipswich,2011-02-01,8.67,310
311 Logan - Beaudesert,2011-02-01,8.12,311
313 Moreton Bay - North,2011-02-01,8.79,313
314 Moreton Bay - South,2011-02-01,10.07,314
306 Cairns,2011-02-01,6.63,306
307 Darling Downs - Maranoa,2011-02-01,12.05,307
308 Fitzroy,2011-02-01,7.29,308
309 Gold Coast,2011-02-01,8.16,309
312 Mackay,2011-02-01,10.75,312
315 Queensland - Outback,2011-02-01,6.27,315
316 Sunshine Coast,2011-02-01,5.95,316
317 Toowoomba,2011-02-01,11.04,317
318 Townsville,2011-02-01,8.45,318
319 Wide Bay,2011-02-01,10.23,319
401 Adelaide - Central and Hills,2011-02-01,10.77,401
402 Adelaide - North,2011-02-01,8.71,402
403 Adelaide - South,2011-02-01,10.03,403
404 Adelaide - West,2011-02-01,10.01,404
405 Barossa - Yorke - Mid North,2011-02-01,10.10,405
406 South Australia - Outback,2011-02-01,12.01,406
407 South Australia - South East,2011-02-01,10.61,407
502 Mandurah,2011-02-01,8.84,502
503 Perth - Inner,2011-02-01,11.24,503
504 Perth - North East,2011-02-01,8.01,504
505 Perth - North West,2011-02-01,9.45,505
506 Perth - South East,2011-02-01,10.28,506
507 Perth - South West,2011-02-01,8.56,507
501 Bunbury,2011-02-01,11.28,501
508 Western Australia - Outback,2011-02-01,10.03,508
509 Western Australia - Wheat Belt,2011-02-01,6.55,509
601 Hobart,2011-02-01,5.77,601
602 Launceston and North East,2011-02-01,11.81,602
603 Tasmania - South East,2011-02-01,10.14,603
604 Tasmania - West and North West,2011-02-01,11.32,604
701 Darwin,2011-02-01,9.29,701
702 Northern Territory - Outback,2011-02-01,9.60,702
801 Australian Capital Territory,2011-02-01,13.72,801
102 Central Coast,2012-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2012-02-01,12.32,115
116 Sydney - Blacktown,2012-02-01,9.54,116
117 Sydney - City and Inner South,2012-02-01,11.12,117
118 Sydney - Eastern Suburbs,2012-02-01,7.82,118
119 Sydney - Inner South West,2012-02-01,9.95,119
120 Sydney - Inner West,2012-02-01,8.90,120
121 Sydney - North Sydney and Hornsby,2012-02-01,7.87,121
122 Sydney - Northern Beaches,2012-02-01,5.95,122
123 Sydney - Outer South West,2012-02-01,8.69,123
124 Sydney - Outer West and Blue Mountains,2012-02-01,9.43,124
125 Sydney - Parramatta,2012-02-01,9.83,125
126 Sydney - Ryde,2012-02-01,8.00,126
127 Sydney - South West,2012-02-01,7.66,127
128 Sydney - Sutherland,2012-02-01,8.19,128
101 Capital Region,2012-02-01,10.60,101
103 New South Wales - Central West,2012-02-01,8.95,103
104 Coffs Harbour - Grafton,2012-02-01,10.91,104
105 Far West and Orana,2012-02-01,10.25,105
106 Hunter Valley exc Newcastle,2012-02-01,13.30,106
107 Illawarra,2012-02-01,11.42,107
108 Mid North Coast,2012-02-01,11.32,108
109 Murray,2012-02-01,9.73,109
110 New England and North West,2012-02-01,9.36,110
111 Newcastle and Lake Macquarie,2012-02-01,8.43,111
112 Richmond - Tweed,2012-02-01,9.83,112
113 Riverina,2012-02-01,10.87,113
114 Southern Highlands and Shoalhaven,2012-02-01,10.68,114
206 Melbourne - Inner,2012-02-01,12.81,206
207 Melbourne - Inner East,2012-02-01,8.43,207
208 Melbourne - Inner South,2012-02-01,8.26,208
209 Melbourne - North East,2012-02-01,8.85,209
210 Melbourne - North West,2012-02-01,10.11,210
211 Melbourne - Outer East,2012-02-01,10.30,211
212 Melbourne - South East,2012-02-01,9.78,212
213 Melbourne - West,2012-02-01,8.11,213
214 Mornington Peninsula,2012-02-01,9.45,214
201 Ballarat,2012-02-01,8.97,201
202 Bendigo,2012-02-01,10.45,202
203 Geelong,2012-02-01,8.13,203
204 Hume,2012-02-01,10.88,204
205 Latrobe - Gippsland,2012-02-01,12.42,205
215 Victoria - North West,2012-02-01,10.22,215
216 Shepparton,2012-02-01,7.54,216
217 Warrnambool and South West,2012-02-01,8.60,217
301 Brisbane - East,2012-02-01,11.31,301
302 Brisbane - North,2012-02-01,10.71,302
303 Brisbane - South,2012-02-01,8.97,303
304 Brisbane - West,2012-02-01,8.75,304
305 Brisbane Inner City,2012-02-01,6.84,305
310 Ipswich,2012-02-01,10.43,310
311 Logan - Beaudesert,2012-02-01,10.29,311
313 Moreton Bay - North,2012-02-01,10.69,313
314 Moreton Bay - South,2012-02-01,10.96,314
306 Cairns,2012-02-01,8.51,306
307 Darling Downs - Maranoa,2012-02-01,10.85,307
308 Fitzroy,2012-02-01,8.06,308
309 Gold Coast,2012-02-01,8.27,309
312 Mackay,2012-02-01,11.58,312
315 Queensland - Outback,2012-02-01,8.65,315
316 Sunshine Coast,2012-02-01,9.02,316
317 Toowoomba,2012-02-01,9.48,317
318 Townsville,2012-02-01,9.19,318
319 Wide Bay,2012-02-01,8.65,319
401 Adelaide - Central and Hills,2012-02-01,11.50,401
402 Adelaide - North,2012-02-01,8.28,402
403 Adelaide - South,2012-02-01,10.01,403
404 Adelaide - West,2012-02-01,10.11,404
405 Barossa - Yorke - Mid North,2012-02-01,11.59,405
406 South Australia - Outback,2012-02-01,9.97,406
407 South Australia - South East,2012-02-01,12.12,407
502 Mandurah,2012-02-01,8.22,502
503 Perth - Inner,2012-02-01,13.56,503
504 Perth - North East,2012-02-01,8.19,504
505 Perth - North West,2012-02-01,10.37,505
506 Perth - South East,2012-02-01,9.15,506
507 Perth - South West,2012-02-01,8.83,507
501 Bunbury,2012-02-01,9.32,501
508 Western Australia - Outback,2012-02-01,9.33,508
509 Western Australia - Wheat Belt,2012-02-01,9.67,509
601 Hobart,2012-02-01,7.32,601
602 Launceston and North East,2012-02-01,11.56,602
603 Tasmania - South East,2012-02-01,9.54,603
604 Tasmania - West and North West,2012-02-01,13.40,604
701 Darwin,2012-02-01,11.62,701
702 Northern Territory - Outback,2012-02-01,9.61,702
801 Australian Capital Territory,2012-02-01,12.63,801
102 Central Coast,2013-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2013-02-01,12.71,115
116 Sydney - Blacktown,2013-02-01,7.29,116
117 Sydney - City and Inner South,2013-02-01,11.10,117
118 Sydney - Eastern Suburbs,2013-02-01,11.24,118
