Labour market region (SA4): ASGS (2011),Date,Percent of Total Workers,sa4_code_2011
109 Murray,1/5/10,30.03,109
110 New England and North West,1/5/10,32.84,110
111 Newcastle and Lake Macquarie,1/5/10,32.53,111
112 Richmond - Tweed,1/5/10,30.76,112
113 Riverina,1/5/10,29.29,113
114 Southern Highlands and Shoalhaven,1/5/10,32.45,114
206 Melbourne - Inner,1/5/10,55.64,206
207 Melbourne - Inner East,1/5/10,49.17,207
208 Melbourne - Inner South,1/5/10,47.09,208
209 Melbourne - North East,1/5/10,36.83,209
210 Melbourne - North West,1/5/10,26.13,210
211 Melbourne - Outer East,1/5/10,34.03,211
212 Melbourne - South East,1/5/10,30.24,212
213 Melbourne - West,1/5/10,28.96,213
214 Mornington Peninsula,1/5/10,29.79,214
201 Ballarat,1/5/10,29.83,201
202 Bendigo,1/5/10,33.04,202
203 Geelong,1/5/10,31.06,203
204 Hume,1/5/10,31.26,204
205 Latrobe - Gippsland,1/5/10,33.25,205
215 Victoria - North West,1/5/10,35.17,215
216 Shepparton,1/5/10,31.34,216
217 Warrnambool and South West,1/5/10,29.22,217
301 Brisbane - East,1/5/10,32.35,301
302 Brisbane - North,1/5/10,33.87,302
303 Brisbane - South,1/5/10,36.4,303
304 Brisbane - West,1/5/10,50.9,304
305 Brisbane Inner City,1/5/10,50.11,305
310 Ipswich,1/5/10,21.72,310
311 Logan - Beaudesert,1/5/10,20.53,311
313 Moreton Bay - North,1/5/10,25.57,313
314 Moreton Bay - South,1/5/10,33.22,314
306 Cairns,1/5/10,25.8,306
307 Darling Downs - Maranoa,1/5/10,39.33,307
308 Fitzroy,1/5/10,22.7,308
309 Gold Coast,1/5/10,29.32,309
312 Mackay,1/5/10,24.11,312
315 Queensland - Outback,1/5/10,30.26,315
316 Sunshine Coast,1/5/10,32.67,316
317 Toowoomba,1/5/10,35.48,317
318 Townsville,1/5/10,27.1,318
319 Wide Bay,1/5/10,28.23,319
401 Adelaide - Central and Hills,1/5/10,48.2,401
402 Adelaide - North,1/5/10,25.38,402
403 Adelaide - South,1/5/10,33.39,403
404 Adelaide - West,1/5/10,31.06,404
405 Barossa - Yorke - Mid North,1/5/10,33.68,405
406 South Australia - Outback,1/5/10,28.7,406
407 South Australia - South East,1/5/10,34.32,407
502 Mandurah,1/5/10,20.98,502
503 Perth - Inner,1/5/10,50.38,503
504 Perth - North East,1/5/10,30.72,504
505 Perth - North West,1/5/10,31.44,505
506 Perth - South East,1/5/10,29.35,506
507 Perth - South West,1/5/10,32.84,507
501 Bunbury,1/5/10,24.75,501
508 Western Australia - Outback,1/5/10,26.47,508
509 Western Australia - Wheat Belt,1/5/10,36.99,509
601 Hobart,1/5/10,36.05,601
602 Launceston and North East,1/5/10,28.24,602
603 Tasmania - South East,1/5/10,36.36,603
604 Tasmania - West and North West,1/5/10,25.06,604
701 Darwin,1/5/10,34.24,701
702 Northern Territory - Outback,1/5/10,29.51,702
801 Australian Capital Territory,1/5/10,47.09,801
102 Central Coast,1/5/11,28.43,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/11,42.47,115
116 Sydney - Blacktown,1/5/11,27.64,116
117 Sydney - City and Inner South,1/5/11,51.24,117
118 Sydney - Eastern Suburbs,1/5/11,53.36,118
119 Sydney - Inner South West,1/5/11,30.46,119
120 Sydney - Inner West,1/5/11,48.02,120
121 Sydney - North Sydney and Hornsby,1/5/11,59.67,121
122 Sydney - Northern Beaches,1/5/11,49.59,122
123 Sydney - Outer South West,1/5/11,28.62,123
124 Sydney - Outer West and Blue Mountains,1/5/11,26.73,124
125 Sydney - Parramatta,1/5/11,32.05,125
126 Sydney - Ryde,1/5/11,47.36,126
127 Sydney - South West,1/5/11,21.91,127
128 Sydney - Sutherland,1/5/11,38,128
101 Capital Region,1/5/11,37.2,101
103 New South Wales - Central West,1/5/11,33.77,103
104 Coffs Harbour - Grafton,1/5/11,28.43,104
105 Far West and Orana,1/5/11,33.67,105
106 Hunter Valley exc Newcastle,1/5/11,22.06,106
107 Illawarra,1/5/11,32.76,107
108 Mid North Coast,1/5/11,30.07,108
109 Murray,1/5/11,40.09,109
110 New England and North West,1/5/11,32.35,110
111 Newcastle and Lake Macquarie,1/5/11,31.81,111
112 Richmond - Tweed,1/5/11,31.38,112
113 Riverina,1/5/11,27,113
114 Southern Highlands and Shoalhaven,1/5/11,31.5,114
206 Melbourne - Inner,1/5/11,53.25,206
207 Melbourne - Inner East,1/5/11,52.72,207
208 Melbourne - Inner South,1/5/11,48.38,208
209 Melbourne - North East,1/5/11,35.19,209
210 Melbourne - North West,1/5/11,26.92,210
211 Melbourne - Outer East,1/5/11,31.71,211
212 Melbourne - South East,1/5/11,28.47,212
213 Melbourne - West,1/5/11,28.06,213
214 Mornington Peninsula,1/5/11,29.08,214
201 Ballarat,1/5/11,29.33,201
202 Bendigo,1/5/11,34.5,202
203 Geelong,1/5/11,29.55,203
204 Hume,1/5/11,30.41,204
205 Latrobe - Gippsland,1/5/11,33.22,205
215 Victoria - North West,1/5/11,35.18,215
216 Shepparton,1/5/11,23.96,216
217 Warrnambool and South West,1/5/11,28.26,217
301 Brisbane - East,1/5/11,29.31,301
302 Brisbane - North,1/5/11,34.74,302
303 Brisbane - South,1/5/11,38.81,303
304 Brisbane - West,1/5/11,51.14,304
305 Brisbane Inner City,1/5/11,49.4,305
310 Ipswich,1/5/11,25.46,310
311 Logan - Beaudesert,1/5/11,22.91,311
313 Moreton Bay - North,1/5/11,24.72,313
314 Moreton Bay - South,1/5/11,34.4,314
306 Cairns,1/5/11,24.98,306
307 Darling Downs - Maranoa,1/5/11,34.31,307
308 Fitzroy,1/5/11,24.31,308
309 Gold Coast,1/5/11,30.32,309
312 Mackay,1/5/11,23.51,312
315 Queensland - Outback,1/5/11,35.33,315
316 Sunshine Coast,1/5/11,31.42,316
317 Toowoomba,1/5/11,36.23,317
318 Townsville,1/5/11,26.59,318
319 Wide Bay,1/5/11,24.85,319
401 Adelaide - Central and Hills,1/5/11,45.09,401
402 Adelaide - North,1/5/11,25.26,402
403 Adelaide - South,1/5/11,33.91,403
404 Adelaide - West,1/5/11,29.29,404
405 Barossa - Yorke - Mid North,1/5/11,33.25,405
406 South Australia - Outback,1/5/11,31.46,406
407 South Australia - South East,1/5/11,30.02,407
502 Mandurah,1/5/11,21.06,502
503 Perth - Inner,1/5/11,52.76,503
504 Perth - North East,1/5/11,31.27,504
505 Perth - North West,1/5/11,32.26,505
506 Perth - South East,1/5/11,29.78,506
507 Perth - South West,1/5/11,31.77,507
501 Bunbury,1/5/11,19.84,501
508 Western Australia - Outback,1/5/11,28.82,508
509 Western Australia - Wheat Belt,1/5/11,42.73,509
601 Hobart,1/5/11,35.71,601
602 Launceston and North East,1/5/11,32.08,602
603 Tasmania - South East,1/5/11,31.84,603
604 Tasmania - West and North West,1/5/11,24.73,604
701 Darwin,1/5/11,33.14,701
702 Northern Territory - Outback,1/5/11,33.88,702
801 Australian Capital Territory,1/5/11,43.77,801
102 Central Coast,1/5/12,27.39,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/12,42.32,115
116 Sydney - Blacktown,1/5/12,25.76,116
117 Sydney - City and Inner South,1/5/12,54.27,117
118 Sydney - Eastern Suburbs,1/5/12,51.06,118
119 Sydney - Inner South West,1/5/12,32.95,119
120 Sydney - Inner West,1/5/12,49.67,120
121 Sydney - North Sydney and Hornsby,1/5/12,60.28,121
122 Sydney - Northern Beaches,1/5/12,47.51,122
123 Sydney - Outer South West,1/5/12,27.97,123
124 Sydney - Outer West and Blue Mountains,1/5/12,29.93,124
125 Sydney - Parramatta,1/5/12,33.4,125
126 Sydney - Ryde,1/5/12,46.82,126
127 Sydney - South West,1/5/12,23.58,127
128 Sydney - Sutherland,1/5/12,37.59,128
101 Capital Region,1/5/12,38.73,101
103 New South Wales - Central West,1/5/12,24.7,103
104 Coffs Harbour - Grafton,1/5/12,27.02,104
105 Far West and Orana,1/5/12,36.67,105
106 Hunter Valley exc Newcastle,1/5/12,24.01,106
107 Illawarra,1/5/12,30.54,107
108 Mid North Coast,1/5/12,28.48,108
109 Murray,1/5/12,40.03,109
110 New England and North West,1/5/12,23.79,110
111 Newcastle and Lake Macquarie,1/5/12,32.72,111
112 Richmond - Tweed,1/5/12,31.19,112
113 Riverina,1/5/12,31.92,113
114 Southern Highlands and Shoalhaven,1/5/12,25.89,114
206 Melbourne - Inner,1/5/12,56.16,206
207 Melbourne - Inner East,1/5/12,52.12,207
208 Melbourne - Inner South,1/5/12,50.51,208
209 Melbourne - North East,1/5/12,34.74,209
210 Melbourne - North West,1/5/12,24.94,210
211 Melbourne - Outer East,1/5/12,34.2,211
212 Melbourne - South East,1/5/12,26.71,212
213 Melbourne - West,1/5/12,25.78,213
214 Mornington Peninsula,1/5/12,29.09,214
201 Ballarat,1/5/12,25.54,201
202 Bendigo,1/5/12,35.65,202
203 Geelong,1/5/12,32.7,203
204 Hume,1/5/12,30.78,204
205 Latrobe - Gippsland,1/5/12,29.84,205
215 Victoria - North West,1/5/12,33.5,215
216 Shepparton,1/5/12,27.72,216
217 Warrnambool and South West,1/5/12,28.38,217
301 Brisbane - East,1/5/12,32.77,301
302 Brisbane - North,1/5/12,35.25,302
303 Brisbane - South,1/5/12,41.65,303
304 Brisbane - West,1/5/12,54.04,304
305 Brisbane Inner City,1/5/12,52.78,305
310 Ipswich,1/5/12,26.38,310
311 Logan - Beaudesert,1/5/12,26.52,311
313 Moreton Bay - North,1/5/12,19.16,313
314 Moreton Bay - South,1/5/12,30.72,314
306 Cairns,1/5/12,26.23,306
307 Darling Downs - Maranoa,1/5/12,32.28,307
308 Fitzroy,1/5/12,23.57,308
309 Gold Coast,1/5/12,29.15,309
312 Mackay,1/5/12,23.96,312
315 Queensland - Outback,1/5/12,39.13,315
316 Sunshine Coast,1/5/12,36.98,316
317 Toowoomba,1/5/12,37.18,317
318 Townsville,1/5/12,30.31,318
319 Wide Bay,1/5/12,23.81,319
401 Adelaide - Central and Hills,1/5/12,46.58,401
402 Adelaide - North,1/5/12,26.79,402
403 Adelaide - South,1/5/12,34.61,403
404 Adelaide - West,1/5/12,29.02,404
405 Barossa - Yorke - Mid North,1/5/12,33.09,405
406 South Australia - Outback,1/5/12,27.34,406
407 South Australia - South East,1/5/12,32.9,407
502 Mandurah,1/5/12,24.3,502
503 Perth - Inner,1/5/12,54.93,503
504 Perth - North East,1/5/12,29.23,504
505 Perth - North West,1/5/12,32.08,505
506 Perth - South East,1/5/12,28.85,506
507 Perth - South West,1/5/12,30.52,507
501 Bunbury,1/5/12,22.17,501
508 Western Australia - Outback,1/5/12,26.32,508
509 Western Australia - Wheat Belt,1/5/12,39.37,509
601 Hobart,1/5/12,36.4,601
602 Launceston and North East,1/5/12,31.14,602
603 Tasmania - South East,1/5/12,27.99,603
604 Tasmania - West and North West,1/5/12,25.86,604
701 Darwin,1/5/12,35.33,701
702 Northern Territory - Outback,1/5/12,34.71,702
801 Australian Capital Territory,1/5/12,46.22,801
102 Central Coast,1/5/13,25.13,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/13,40.39,115
116 Sydney - Blacktown,1/5/13,27.64,116
117 Sydney - City and Inner South,1/5/13,55.86,117
118 Sydney - Eastern Suburbs,1/5/13,57.35,118
119 Sydney - Inner South West,1/5/13,32.75,119
120 Sydney - Inner West,1/5/13,47.65,120
121 Sydney - North Sydney and Hornsby,1/5/13,58.85,121
122 Sydney - Northern Beaches,1/5/13,45.19,122
123 Sydney - Outer South West,1/5/13,29.12,123
124 Sydney - Outer West and Blue Mountains,1/5/13,30.71,124
125 Sydney - Parramatta,1/5/13,33.8,125
126 Sydney - Ryde,1/5/13,46.81,126
127 Sydney - South West,1/5/13,22.84,127
128 Sydney - Sutherland,1/5/13,34.67,128
101 Capital Region,1/5/13,37.18,101
103 New South Wales - Central West,1/5/13,23.35,103
104 Coffs Harbour - Grafton,1/5/13,29.22,104
105 Far West and Orana,1/5/13,36.46,105
106 Hunter Valley exc Newcastle,1/5/13,25.04,106
107 Illawarra,1/5/13,29.06,107
108 Mid North Coast,1/5/13,27.5,108
109 Murray,1/5/13,28.44,109
110 New England and North West,1/5/13,30.05,110
111 Newcastle and Lake Macquarie,1/5/13,31.61,111
112 Richmond - Tweed,1/5/13,30.65,112
113 Riverina,1/5/13,26.86,113
114 Southern Highlands and Shoalhaven,1/5/13,25.05,114
206 Melbourne - Inner,1/5/13,57.75,206
207 Melbourne - Inner East,1/5/13,51.93,207
208 Melbourne - Inner South,1/5/13,49.67,208
209 Melbourne - North East,1/5/13,36,209
210 Melbourne - North West,1/5/13,24.7,210
211 Melbourne - Outer East,1/5/13,33.84,211
212 Melbourne - South East,1/5/13,27.87,212
213 Melbourne - West,1/5/13,29.03,213
214 Mornington Peninsula,1/5/13,31.69,214
201 Ballarat,1/5/13,23.65,201
202 Bendigo,1/5/13,39.09,202
203 Geelong,1/5/13,32.33,203
204 Hume,1/5/13,28.45,204
205 Latrobe - Gippsland,1/5/13,29.5,205
215 Victoria - North West,1/5/13,34.12,215
216 Shepparton,1/5/13,30.06,216
217 Warrnambool and South West,1/5/13,34.8,217
301 Brisbane - East,1/5/13,31.86,301
302 Brisbane - North,1/5/13,34.85,302
303 Brisbane - South,1/5/13,37.99,303
304 Brisbane - West,1/5/13,52.35,304
305 Brisbane Inner City,1/5/13,51.63,305
310 Ipswich,1/5/13,26.27,310
311 Logan - Beaudesert,1/5/13,20.91,311
313 Moreton Bay - North,1/5/13,21.23,313
314 Moreton Bay - South,1/5/13,32.43,314
306 Cairns,1/5/13,27.02,306
307 Darling Downs - Maranoa,1/5/13,31.25,307
308 Fitzroy,1/5/13,23.43,308
309 Gold Coast,1/5/13,31.3,309
312 Mackay,1/5/13,26.17,312
315 Queensland - Outback,1/5/13,24.43,315
316 Sunshine Coast,1/5/13,35.43,316
317 Toowoomba,1/5/13,31.17,317
318 Townsville,1/5/13,26.64,318
319 Wide Bay,1/5/13,24.48,319
401 Adelaide - Central and Hills,1/5/13,48.16,401
402 Adelaide - North,1/5/13,26.74,402
403 Adelaide - South,1/5/13,33.07,403
404 Adelaide - West,1/5/13,28.34,404
405 Barossa - Yorke - Mid North,1/5/13,33.86,405
406 South Australia - Outback,1/5/13,33.14,406
407 South Australia - South East,1/5/13,27.47,407
502 Mandurah,1/5/13,30.68,502
503 Perth - Inner,1/5/13,53.55,503
504 Perth - North East,1/5/13,27.77,504
505 Perth - North West,1/5/13,32.41,505
506 Perth - South East,1/5/13,31.89,506
507 Perth - South West,1/5/13,30.82,507
501 Bunbury,1/5/13,21.92,501
508 Western Australia - Outback,1/5/13,26.32,508
509 Western Australia - Wheat Belt,1/5/13,35.32,509
601 Hobart,1/5/13,35.61,601
602 Launceston and North East,1/5/13,32.6,602
603 Tasmania - South East,1/5/13,25.12,603
604 Tasmania - West and North West,1/5/13,29.48,604
701 Darwin,1/5/13,32.25,701
702 Northern Territory - Outback,1/5/13,32.19,702
801 Australian Capital Territory,1/5/13,48,801
102 Central Coast,1/5/14,31.73,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/14,43.95,115
116 Sydney - Blacktown,1/5/14,25.47,116
117 Sydney - City and Inner South,1/5/14,54.31,117
118 Sydney - Eastern Suburbs,1/5/14,55.48,118
119 Sydney - Inner South West,1/5/14,34.8,119
120 Sydney - Inner West,1/5/14,50.06,120
121 Sydney - North Sydney and Hornsby,1/5/14,58.75,121
122 Sydney - Northern Beaches,1/5/14,49.74,122
123 Sydney - Outer South West,1/5/14,25.16,123
124 Sydney - Outer West and Blue Mountains,1/5/14,28.91,124
125 Sydney - Parramatta,1/5/14,36.56,125
126 Sydney - Ryde,1/5/14,47.25,126
127 Sydney - South West,1/5/14,24.94,127
128 Sydney - Sutherland,1/5/14,38.4,128
101 Capital Region,1/5/14,29.68,101
103 New South Wales - Central West,1/5/14,33.89,103
104 Coffs Harbour - Grafton,1/5/14,31.9,104
105 Far West and Orana,1/5/14,33,105
106 Hunter Valley exc Newcastle,1/5/14,23.57,106
107 Illawarra,1/5/14,32.2,107
108 Mid North Coast,1/5/14,26.83,108
109 Murray,1/5/14,25.88,109
110 New England and North West,1/5/14,22.58,110
111 Newcastle and Lake Macquarie,1/5/14,31.59,111
112 Richmond - Tweed,1/5/14,31.86,112
113 Riverina,1/5/14,35.58,113
114 Southern Highlands and Shoalhaven,1/5/14,29.5,114
206 Melbourne - Inner,1/5/14,56.67,206
207 Melbourne - Inner East,1/5/14,52.36,207
208 Melbourne - Inner South,1/5/14,46.43,208
209 Melbourne - North East,1/5/14,32.75,209
210 Melbourne - North West,1/5/14,31.51,210
211 Melbourne - Outer East,1/5/14,34.49,211
212 Melbourne - South East,1/5/14,29.8,212
213 Melbourne - West,1/5/14,28.29,213
214 Mornington Peninsula,1/5/14,34.35,214
201 Ballarat,1/5/14,36.42,201
202 Bendigo,1/5/14,25.88,202
203 Geelong,1/5/14,33.84,203
204 Hume,1/5/14,37.8,204
205 Latrobe - Gippsland,1/5/14,30.84,205
215 Victoria - North West,1/5/14,25.78,215
216 Shepparton,1/5/14,36.24,216
217 Warrnambool and South West,1/5/14,41.38,217
301 Brisbane - East,1/5/14,28.82,301
302 Brisbane - North,1/5/14,36.28,302
303 Brisbane - South,1/5/14,38.23,303
304 Brisbane - West,1/5/14,52.31,304
305 Brisbane Inner City,1/5/14,54.22,305
310 Ipswich,1/5/14,25.41,310
311 Logan - Beaudesert,1/5/14,22.54,311
313 Moreton Bay - North,1/5/14,21.01,313
314 Moreton Bay - South,1/5/14,31.28,314
306 Cairns,1/5/14,23.13,306
307 Darling Downs - Maranoa,1/5/14,29,307
308 Fitzroy,1/5/14,28.17,308
309 Gold Coast,1/5/14,28.95,309
312 Mackay,1/5/14,20.15,312
315 Queensland - Outback,1/5/14,34.79,315
316 Sunshine Coast,1/5/14,27.43,316
317 Toowoomba,1/5/14,30.31,317
318 Townsville,1/5/14,24.2,318
319 Wide Bay,1/5/14,32.15,319
401 Adelaide - Central and Hills,1/5/14,49.13,401
402 Adelaide - North,1/5/14,26.79,402
403 Adelaide - South,1/5/14,31.87,403
404 Adelaide - West,1/5/14,29.13,404
405 Barossa - Yorke - Mid North,1/5/14,30.56,405
406 South Australia - Outback,1/5/14,27.04,406
407 South Australia - South East,1/5/14,27.47,407
502 Mandurah,1/5/14,23.04,502
503 Perth - Inner,1/5/14,55.51,503
504 Perth - North East,1/5/14,30.38,504
505 Perth - North West,1/5/14,33.24,505
506 Perth - South East,1/5/14,31.08,506
507 Perth - South West,1/5/14,31.37,507
501 Bunbury,1/5/14,29.55,501
508 Western Australia - Outback,1/5/14,24.36,508
509 Western Australia - Wheat Belt,1/5/14,31.84,509
601 Hobart,1/5/14,33.41,601
602 Launceston and North East,1/5/14,30.23,602
603 Tasmania - South East,1/5/14,31.11,603
604 Tasmania - West and North West,1/5/14,24.87,604
701 Darwin,1/5/14,31.35,701
702 Northern Territory - Outback,1/5/14,33.53,702
801 Australian Capital Territory,1/5/14,46.93,801
102 Central Coast,1/5/15,29.39,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/15,41.56,115
116 Sydney - Blacktown,1/5/15,26.34,116
117 Sydney - City and Inner South,1/5/15,55.24,117
118 Sydney - Eastern Suburbs,1/5/15,56.47,118
119 Sydney - Inner South West,1/5/15,33.26,119
120 Sydney - Inner West,1/5/15,50.95,120
121 Sydney - North Sydney and Hornsby,1/5/15,59.88,121
122 Sydney - Northern Beaches,1/5/15,49.17,122
123 Sydney - Outer South West,1/5/15,27.37,123
124 Sydney - Outer West and Blue Mountains,1/5/15,31,124
125 Sydney - Parramatta,1/5/15,35.21,125
126 Sydney - Ryde,1/5/15,53.01,126
127 Sydney - South West,1/5/15,25.16,127
128 Sydney - Sutherland,1/5/15,37.72,128
101 Capital Region,1/5/15,31.47,101
103 New South Wales - Central West,1/5/15,29.88,103
104 Coffs Harbour - Grafton,1/5/15,27.32,104
105 Far West and Orana,1/5/15,34.29,105
106 Hunter Valley exc Newcastle,1/5/15,24.31,106
107 Illawarra,1/5/15,31.09,107
108 Mid North Coast,1/5/15,30.02,108
109 Murray,1/5/15,26.92,109
110 New England and North West,1/5/15,22.48,110
111 Newcastle and Lake Macquarie,1/5/15,34.27,111
112 Richmond - Tweed,1/5/15,32.61,112
113 Riverina,1/5/15,38.05,113
114 Southern Highlands and Shoalhaven,1/5/15,25.55,114
206 Melbourne - Inner,1/5/15,56.32,206
207 Melbourne - Inner East,1/5/15,55.06,207
208 Melbourne - Inner South,1/5/15,48.67,208
209 Melbourne - North East,1/5/15,32.93,209
210 Melbourne - North West,1/5/15,33.32,210
211 Melbourne - Outer East,1/5/15,34.52,211
212 Melbourne - South East,1/5/15,29.14,212
213 Melbourne - West,1/5/15,32.5,213
214 Mornington Peninsula,1/5/15,28.23,214
201 Ballarat,1/5/15,40.86,201
202 Bendigo,1/5/15,36.28,202
203 Geelong,1/5/15,33.84,203
204 Hume,1/5/15,30.11,204
205 Latrobe - Gippsland,1/5/15,33.34,205
215 Victoria - North West,1/5/15,33.99,215
216 Shepparton,1/5/15,36.57,216
217 Warrnambool and South West,1/5/15,33.31,217
301 Brisbane - East,1/5/15,32.18,301
302 Brisbane - North,1/5/15,39.49,302
303 Brisbane - South,1/5/15,39.13,303
304 Brisbane - West,1/5/15,51.95,304
305 Brisbane Inner City,1/5/15,51.72,305
310 Ipswich,1/5/15,25.44,310
311 Logan - Beaudesert,1/5/15,23.56,311
313 Moreton Bay - North,1/5/15,22.25,313
314 Moreton Bay - South,1/5/15,30.68,314
306 Cairns,1/5/15,29.99,306
307 Darling Downs - Maranoa,1/5/15,22.18,307
308 Fitzroy,1/5/15,31.71,308
309 Gold Coast,1/5/15,31.62,309
312 Mackay,1/5/15,21.05,312
315 Queensland - Outback,1/5/15,29.65,315
316 Sunshine Coast,1/5/15,31.12,316
317 Toowoomba,1/5/15,29.24,317
318 Townsville,1/5/15,22.98,318
319 Wide Bay,1/5/15,29.27,319
401 Adelaide - Central and Hills,1/5/15,48.27,401
402 Adelaide - North,1/5/15,25.4,402
403 Adelaide - South,1/5/15,34.22,403
404 Adelaide - West,1/5/15,32.18,404
405 Barossa - Yorke - Mid North,1/5/15,35.24,405
406 South Australia - Outback,1/5/15,38.9,406
407 South Australia - South East,1/5/15,31.24,407
502 Mandurah,1/5/15,26.8,502
503 Perth - Inner,1/5/15,57.43,503
504 Perth - North East,1/5/15,29.42,504
505 Perth - North West,1/5/15,34.38,505
506 Perth - South East,1/5/15,31.79,506
507 Perth - South West,1/5/15,32.41,507
501 Bunbury,1/5/15,31.94,501
508 Western Australia - Outback,1/5/15,21.48,508
509 Western Australia - Wheat Belt,1/5/15,31.14,509
601 Hobart,1/5/15,33.52,601
602 Launceston and North East,1/5/15,31.72,602
603 Tasmania - South East,1/5/15,28.23,603
604 Tasmania - West and North West,1/5/15,25.24,604
701 Darwin,1/5/15,32.57,701
702 Northern Territory - Outback,1/5/15,33.06,702
801 Australian Capital Territory,1/5/15,47.14,801
102 Central Coast,1/5/16,31.65,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/16,47.29,115
116 Sydney - Blacktown,1/5/16,31.17,116
117 Sydney - City and Inner South,1/5/16,55.94,117
118 Sydney - Eastern Suburbs,1/5/16,59.96,118
119 Sydney - Inner South West,1/5/16,35.27,119
120 Sydney - Inner West,1/5/16,51.34,120
121 Sydney - North Sydney and Hornsby,1/5/16,61.69,121
122 Sydney - Northern Beaches,1/5/16,48.11,122
123 Sydney - Outer South West,1/5/16,27.9,123
124 Sydney - Outer West and Blue Mountains,1/5/16,31.03,124
125 Sydney - Parramatta,1/5/16,34.89,125
126 Sydney - Ryde,1/5/16,52.9,126
127 Sydney - South West,1/5/16,25.54,127
128 Sydney - Sutherland,1/5/16,38.79,128
